date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:25	5975/5975	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a80232d24d1ec01f0b9d2cc3a93a9cdb%22	https://darkrise-astro.vercel.app/_astro/5.CNE-Krv__Z1KEDfv.svg	darkrise-astro.vercel.app/_astro/5.CNE-Krv__Z1KEDfv.svg	(from https://darkrise-astro.vercel.app/)
22:57:27	16512/16512	---M--	200	added ('OK')	image/webp	etag:%22e85ca173fa07517335ac7395d8356c74%22	https://darkrise-astro.vercel.app/_astro/sales-overview.uImYVWKA_Zo3lxl.webp	darkrise-astro.vercel.app/_astro/sales-overview.uImYVWKA_Zo3lxl.webp	(from https://darkrise-astro.vercel.app/)
22:57:28	5838/5838	---M--	200	added ('OK')	image/webp	etag:%221efce763c61f771ae775889e2e705d18%22	https://darkrise-astro.vercel.app/_astro/monthly-sale.XOy7oO1I_Z1QdF9z.webp	darkrise-astro.vercel.app/_astro/monthly-sale.XOy7oO1I_Z1QdF9z.webp	(from https://darkrise-astro.vercel.app/)
22:57:30	30412/30412	---M--	200	added ('OK')	image/webp	etag:%2253a08c91881df10278954ba6a3241bb4%22	https://darkrise-astro.vercel.app/_astro/audience-activity.CbUArZ2w_ZdO4ji.webp	darkrise-astro.vercel.app/_astro/audience-activity.CbUArZ2w_ZdO4ji.webp	(from https://darkrise-astro.vercel.app/)
22:57:32	17612/17612	---M--	200	added ('OK')	image/webp	etag:%22be417828ad25e5b96a4fba2d145f8fbe%22	https://darkrise-astro.vercel.app/_astro/summery.h62mgV8k_Z1cfSuV.webp	darkrise-astro.vercel.app/_astro/summery.h62mgV8k_Z1cfSuV.webp	(from https://darkrise-astro.vercel.app/)
22:57:33	26850/26850	---M--	200	added ('OK')	image/webp	etag:%2292f2e0f4cd5123fd024b1a6ffa7c338f%22	https://darkrise-astro.vercel.app/_astro/customer.DtJ2sL-Q_1LfQVf.webp	darkrise-astro.vercel.app/_astro/customer.DtJ2sL-Q_1LfQVf.webp	(from https://darkrise-astro.vercel.app/)
22:57:35	12726/12726	---M--	200	added ('OK')	image/webp	etag:%22b485520cbc5aa7872e9e091d644e5028%22	https://darkrise-astro.vercel.app/_astro/customer-sales.Dq1qkhbi_1dSKQM.webp	darkrise-astro.vercel.app/_astro/customer-sales.Dq1qkhbi_1dSKQM.webp	(from https://darkrise-astro.vercel.app/)
22:57:36	1277/1277	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2284a20916a29c360fc349c26889be861c%22	https://darkrise-astro.vercel.app/_astro/setup.VJ9_NnOC_f4Kos.svg	darkrise-astro.vercel.app/_astro/setup.VJ9_NnOC_f4Kos.svg	(from https://darkrise-astro.vercel.app/)
22:57:37	827/827	---M--	200	added ('OK')	image/svg+xml	etag:%22958cf1c3bc9a46d1c8213492900f3733%22	https://darkrise-astro.vercel.app/_astro/calender-plus.C9zLGds0_ZEXH7q.svg	darkrise-astro.vercel.app/_astro/calender-plus.C9zLGds0_ZEXH7q.svg	(from https://darkrise-astro.vercel.app/)
22:57:39	920/920	---M--	200	added ('OK')	image/svg+xml	etag:%22ba76726e6c168e79cb7cbec8e696ca4a%22	https://darkrise-astro.vercel.app/_astro/chart.DzAGPqXp_1vjgjV.svg	darkrise-astro.vercel.app/_astro/chart.DzAGPqXp_1vjgjV.svg	(from https://darkrise-astro.vercel.app/)
22:57:40	928/928	---M--	200	added ('OK')	image/svg+xml	etag:%225b7a54ddafb555f1f224a8bc2001f9a7%22	https://darkrise-astro.vercel.app/_astro/chat.uMIQbBCv_Z1NNi9D.svg	darkrise-astro.vercel.app/_astro/chat.uMIQbBCv_Z1NNi9D.svg	(from https://darkrise-astro.vercel.app/)
22:57:42	951/951	---M--	200	added ('OK')	image/svg+xml	etag:%224e7b6ed0280a9a5a351ddad29c9a9d35%22	https://darkrise-astro.vercel.app/_astro/cart.C51HcO2t_2dMCgu.svg	darkrise-astro.vercel.app/_astro/cart.C51HcO2t_2dMCgu.svg	(from https://darkrise-astro.vercel.app/)
22:57:44	752/752	---M--	200	added ('OK')	image/svg+xml	etag:%22495427ca7ed73a8488795c1773b1267d%22	https://darkrise-astro.vercel.app/_astro/customer.BW_xlpm5_Z14hThK.svg	darkrise-astro.vercel.app/_astro/customer.BW_xlpm5_Z14hThK.svg	(from https://darkrise-astro.vercel.app/)
22:57:46	964/964	---M--	200	added ('OK')	image/svg+xml	etag:%2272bf23d1b46b2dd6c8e2f9ff0d8bc602%22	https://darkrise-astro.vercel.app/_astro/intercom.DlJeRS7C_Zk5NMb.svg	darkrise-astro.vercel.app/_astro/intercom.DlJeRS7C_Zk5NMb.svg	(from https://darkrise-astro.vercel.app/)
22:57:47	930/930	---M--	200	added ('OK')	image/svg+xml	etag:%228954b0b5e13189db892094bcab841de1%22	https://darkrise-astro.vercel.app/_astro/hubspot.Cfv3FqnR_ZrAXbV.svg	darkrise-astro.vercel.app/_astro/hubspot.Cfv3FqnR_ZrAXbV.svg	(from https://darkrise-astro.vercel.app/)
22:57:49	633/633	---M--	200	added ('OK')	image/svg+xml	etag:%229a76f202af5ed0c256f0446b4273d919%22	https://darkrise-astro.vercel.app/_astro/kickstarter.CPFoQz1A_Z1qgB0o.svg	darkrise-astro.vercel.app/_astro/kickstarter.CPFoQz1A_Z1qgB0o.svg	(from https://darkrise-astro.vercel.app/)
22:57:51	4124/4124	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a5041061fddc4d1073a81811b576ffb%22	https://darkrise-astro.vercel.app/_astro/mailchimp.CdJWDeBv_Z1KWU20.svg	darkrise-astro.vercel.app/_astro/mailchimp.CdJWDeBv_Z1KWU20.svg	(from https://darkrise-astro.vercel.app/)
